Image,Dataset,Sigma,Best_Method,Worst_Method
test001.png,BSD68,10,bilateral,tv
test002.png,BSD68,10,bilateral,tv
test003.png,BSD68,10,bilateral,tv
test004.png,BSD68,10,bilateral,tv
test005.png,BSD68,10,bilateral,tv
test006.png,BSD68,10,bilateral,tv
test007.png,BSD68,10,bilateral,tv
test008.png,BSD68,10,bilateral,tv
test009.png,BSD68,10,bilateral,tv
test010.png,BSD68,10,bilateral,tv
test011.png,BSD68,10,bilateral,tv
test012.png,BSD68,10,bilateral,tv
test013.png,BSD68,10,bilateral,tv
test014.png,BSD68,10,bilateral,tv
test015.png,BSD68,10,bilateral,tv
test016.png,BSD68,10,bilateral,tv
test017.png,BSD68,10,bilateral,tv
test018.png,BSD68,10,bilateral,tv
test019.png,BSD68,10,bilateral,tv
test020.png,BSD68,10,bilateral,tv
test021.png,BSD68,10,bilateral,tv
test022.png,BSD68,10,bilateral,tv
test023.png,BSD68,10,bilateral,tv
test024.png,BSD68,10,bilateral,tv
test025.png,BSD68,10,bilateral,tv
test026.png,BSD68,10,bilateral,tv
test027.png,BSD68,10,bilateral,tv
test028.png,BSD68,10,bilateral,tv
test029.png,BSD68,10,bilateral,tv
test030.png,BSD68,10,bilateral,tv
test031.png,BSD68,10,bilateral,original
test032.png,BSD68,10,bilateral,tv
test033.png,BSD68,10,bilateral,tv
test034.png,BSD68,10,bilateral,tv
test035.png,BSD68,10,bilateral,tv
test036.png,BSD68,10,bilateral,tv
test037.png,BSD68,10,bilateral,tv
test038.png,BSD68,10,bilateral,tv
test039.png,BSD68,10,bilateral,tv
test040.png,BSD68,10,bilateral,tv
test041.png,BSD68,10,bilateral,tv
test042.png,BSD68,10,bilateral,tv
test043.png,BSD68,10,bilateral,tv
test044.png,BSD68,10,bilateral,tv
test045.png,BSD68,10,bilateral,tv
test046.png,BSD68,10,bilateral,tv
test047.png,BSD68,10,bilateral,tv
test048.png,BSD68,10,bilateral,tv
test049.png,BSD68,10,bilateral,tv
test050.png,BSD68,10,bilateral,original
test051.png,BSD68,10,bilateral,tv
test052.png,BSD68,10,bilateral,tv
test053.png,BSD68,10,bilateral,tv
test054.png,BSD68,10,bilateral,tv
test055.png,BSD68,10,bilateral,tv
test056.png,BSD68,10,bilateral,original
test057.png,BSD68,10,bilateral,tv
test058.png,BSD68,10,bilateral,tv
test059.png,BSD68,10,bilateral,tv
test060.png,BSD68,10,bilateral,tv
test061.png,BSD68,10,bilateral,tv
test062.png,BSD68,10,bilateral,tv
test063.png,BSD68,10,bilateral,tv
test064.png,BSD68,10,bilateral,tv
test065.png,BSD68,10,bilateral,tv
test066.png,BSD68,10,bilateral,tv
test067.png,BSD68,10,bilateral,tv
test068.png,BSD68,10,bilateral,tv
test001.png,BSD68,20,bilateral,tv
test002.png,BSD68,20,bilateral,tv
test003.png,BSD68,20,bilateral,tv
test004.png,BSD68,20,bilateral,tv
test005.png,BSD68,20,bilateral,tv
test006.png,BSD68,20,bilateral,tv
test007.png,BSD68,20,bilateral,tv
test008.png,BSD68,20,bilateral,tv
test009.png,BSD68,20,bilateral,tv
test010.png,BSD68,20,bilateral,tv
test011.png,BSD68,20,bilateral,tv
test012.png,BSD68,20,bilateral,tv
test013.png,BSD68,20,bilateral,tv
test014.png,BSD68,20,bilateral,tv
test015.png,BSD68,20,bilateral,tv
test016.png,BSD68,20,bilateral,tv
test017.png,BSD68,20,bilateral,tv
test018.png,BSD68,20,bilateral,tv
test019.png,BSD68,20,bilateral,tv
test020.png,BSD68,20,bilateral,tv
test021.png,BSD68,20,bilateral,tv
test022.png,BSD68,20,bilateral,tv
