dataset,sigma,method,mean_psnr,std_psnr
BSD68,10,adaptive,22.3906103911673,1.53946762693322
BSD68,10,bilateral,30.7590417137858,2.01508988014661
BSD68,10,guided,29.5573585722861,1.94793288820772
BSD68,10,l0,21.3363187758092,1.4787128524342
BSD68,10,lgss,25.2940147426868,1.23980250062795
BSD68,10,original,19.3314771280686,1.50502296972031
BSD68,10,tv,17.6051409452824,0.445744249003082
BSD68,20,adaptive,24.2893317676698,1.06503723997017
BSD68,20,bilateral,26.6378371740399,1.21210451607787
BSD68,20,guided,26.3165080883932,1.30519040742585
BSD68,20,l0,21.6624584982518,1.44067366216624
BSD68,20,lgss,25.3040015714515,1.36008698866335
BSD68,20,original,19.7229838130828,1.41987721772746
BSD68,20,tv,17.0192623908721,0.333767571141826
BSD68,25,adaptive,23.2314528080162,0.95263829086472
BSD68,25,bilateral,24.2021662755448,0.878456070642088
BSD68,25,guided,24.1896193076425,0.948977378626067
BSD68,25,l0,21.8066239829031,1.35759367901358
BSD68,25,lgss,24.0195656791824,1.31327798183544
BSD68,25,original,20.0212592299409,1.35632049047836
BSD68,25,tv,16.3692823976471,0.343412589728793
BSD68,50,adaptive,15.0304499739108,0.506003805602817
BSD68,50,bilateral,16.3826918701812,0.43713614532349
BSD68,50,guided,16.7846263229533,0.486608996294079
BSD68,50,l0,17.2506777529121,0.607225602945128
BSD68,50,lgss,15.9547001767132,0.805642784598022
BSD68,50,original,17.4623250442697,0.885405304708914
BSD68,50,tv,13.1251761634176,0.3805526181039
Kodak24,10,adaptive,22.8345877241396,1.32327817818832
Kodak24,10,bilateral,31.4829959568766,1.80699028368538
Kodak24,10,guided,30.2609554250787,1.81802489907945
Kodak24,10,l0,21.9850073072437,1.34974701509061
Kodak24,10,lgss,26.1475896211042,1.21456788424068
Kodak24,10,original,19.9778737763098,1.3098424686757
Kodak24,10,tv,17.4050798227292,0.333537500815906
Kodak24,20,adaptive,25.0273793108353,1.01627757361472
Kodak24,20,bilateral,27.0692187524912,1.03363602507888
Kodak24,20,guided,26.8139752186115,1.18437838157737
Kodak24,20,l0,22.2864102467611,1.26926946030738
Kodak24,20,lgss,26.3226041218958,1.42077263588441
Kodak24,20,original,20.2962148155553,1.24320151770195
Kodak24,20,tv,16.8806959439708,0.256979518775652
Kodak24,25,adaptive,23.5659752183742,0.794096109930457
Kodak24,25,bilateral,24.4430295660427,0.714007595790219
Kodak24,25,guided,24.4925075985205,0.822708241104547
Kodak24,25,l0,22.4483046991258,1.24370777926714
Kodak24,25,lgss,24.7863777980875,1.24941933783384
Kodak24,25,original,20.5984875954559,1.16237736224528
Kodak24,25,tv,16.2322276359125,0.270224508480984
Kodak24,50,adaptive,14.8806425510686,0.419081200921602
Kodak24,50,bilateral,16.307427050139,0.361971743190015
Kodak24,50,guided,16.709844064912,0.409213740428656
Kodak24,50,l0,17.2627110148564,0.506286212521053
Kodak24,50,lgss,15.8270053816375,0.56402081787481
Kodak24,50,original,17.3744480451693,0.688865035785372
Kodak24,50,tv,12.9961117851,0.32089278570978
Set12,10,adaptive,22.2875168005449,1.57967889401074
Set12,10,bilateral,31.4021869287119,0.859076034416036
Set12,10,guided,29.798966976818,0.880762212633023
Set12,10,l0,22.2749365273834,1.44754615063231
Set12,10,lgss,24.9752331847167,1.28797801613341
Set12,10,original,18.843203563219,1.31162225056059
Set12,10,tv,17.4250198623,0.273075957511526
Set12,20,adaptive,24.7893455101743,0.931610541350424
Set12,20,bilateral,26.7658731274487,0.500546484420927
Set12,20,guided,26.2349764525844,0.633365568701132
Set12,20,l0,22.5008385401,1.34720799209013
Set12,20,lgss,25.4341336624583,1.17700999898118
Set12,20,original,19.4310001518772,1.40567623164126
Set12,20,tv,16.9179065008167,0.21214483708794
Set12,25,adaptive,23.5163768393601,0.370750338100721
Set12,25,bilateral,24.1937993180708,0.33437490538892
Set12,25,guided,24.0551888377307,0.444833952319007
Set12,25,l0,22.6920763052924,1.22398604827463
Set12,25,lgss,24.4600231881167,0.833181936492737
Set12,25,original,19.886177595691,1.45873515037684
Set12,25,tv,16.2673565239583,0.206483422427897
Set12,50,adaptive,14.864537869916,0.229509229111683
Set12,50,bilateral,16.2393974216872,0.167363945311379
Set12,50,guided,16.6049970109772,0.180770045904596
Set12,50,l0,17.2112393416552,0.265438791319727
Set12,50,lgss,15.9549562344333,0.439916199294607
Set12,50,original,17.3752653498259,0.364522154531287
Set12,50,tv,13.0036958501167,0.219420299533901
custom,10,adaptive,23.0877870359802,2.78485839387694
custom,10,bilateral,31.8713745365931,0.876769087455197
custom,10,guided,30.2345471608184,1.20351544063859
custom,10,l0,23.0833365282832,1.4509382214999
custom,10,lgss,24.32385045945,1.11325472615193
custom,10,original,20.1009368545686,1.74367607689943
custom,10,tv,17.2422862473,0.203960272814796
custom,20,adaptive,25.2501269411871,1.08988874239884
custom,20,bilateral,27.0602002979572,0.601141200657875
custom,20,guided,26.3199850236673,1.08107117826234
custom,20,l0,23.34151000714,1.13590522091445
custom,20,lgss,25.4217084557,1.45227761280803
custom,20,original,20.7165631432842,2.01030345146041
custom,20,tv,16.9272563439667,0.262266355871968
custom,25,adaptive,23.7604121030219,0.471226568095696
custom,25,bilateral,24.3801490829967,0.47154910207767
custom,25,guided,24.0670235082024,0.814714774539708
custom,25,l0,23.5037328678234,1.00213150727617
custom,25,lgss,24.6281272074667,0.792821808912114
custom,25,original,21.1254263477868,2.11646574430219
custom,25,tv,16.2757366314333,0.230173286626432
custom,50,adaptive,14.8814173651638,0.219643626378167
custom,50,bilateral,16.2471700121933,0.173817292660627
custom,50,guided,16.5749985813745,0.200670276972777
custom,50,l0,17.292198848138,0.102779297624687
custom,50,lgss,16.0497744334,0.32792338692447
custom,50,original,17.3860162895315,0.0349886171829431
custom,50,tv,13.0124321763667,0.168281000183882
