dataset,sigma,method,mean_ssim,std_ssim
BSD68,10,adaptive,0.627388761582785,0.107417960677481
BSD68,10,bilateral,0.862575468778526,0.0377555565454047
BSD68,10,guided,0.843385612250486,0.0391027307257609
BSD68,10,l0,0.568855216821569,0.126518416615193
BSD68,10,lgss,0.717920139525,0.0778005369705379
BSD68,10,original,0.501599027983935,0.140194249850156
BSD68,10,tv,0.2883407595,0.121288909502951
BSD68,20,adaptive,0.690752527925641,0.0733360998357696
BSD68,20,bilateral,0.67439713854334,0.0668271108351823
BSD68,20,guided,0.665849231742292,0.0618513038373979
BSD68,20,l0,0.583358898462201,0.117399538643437
BSD68,20,lgss,0.738117039542647,0.065134056278987
BSD68,20,original,0.517374937606323,0.131853340083
BSD68,20,tv,0.267046187038235,0.111193160789032
BSD68,25,adaptive,0.581655848100756,0.0841336572172908
BSD68,25,bilateral,0.547852830061657,0.0941567104203515
BSD68,25,guided,0.547511572482783,0.0897592363957679
BSD68,25,l0,0.591645015061575,0.108949917080839
BSD68,25,lgss,0.695202542230882,0.0693567632016673
BSD68,25,original,0.531662411064383,0.125011591888978
BSD68,25,tv,0.245111720888235,0.10447011713817
BSD68,50,adaptive,0.208787329210691,0.0892325615868588
BSD68,50,bilateral,0.231633947538565,0.0918600243092144
BSD68,50,guided,0.23955615358391,0.0918030009475116
BSD68,50,l0,0.282696217616273,0.0880088861493057
BSD68,50,lgss,0.283478862898529,0.10929622413163
BSD68,50,original,0.343948112382972,0.109624627624693
BSD68,50,tv,0.150713872738235,0.073065624037185
Kodak24,10,adaptive,0.65083043340295,0.0890083032643693
Kodak24,10,bilateral,0.855887284734051,0.03027983315482
Kodak24,10,guided,0.837238297014562,0.0316030019127847
Kodak24,10,l0,0.612149365761508,0.111489185579301
Kodak24,10,lgss,0.735647489141667,0.0662017251240192
Kodak24,10,original,0.555259830229294,0.126116103868178
Kodak24,10,tv,0.23670136975,0.102845163747061
Kodak24,20,adaptive,0.696579449631061,0.0621700706895707
Kodak24,20,bilateral,0.639821456253661,0.0634519597136328
Kodak24,20,guided,0.634083917533763,0.0582322769127569
Kodak24,20,l0,0.625008706441174,0.106054319292871
Kodak24,20,lgss,0.754623911633333,0.0593087234253241
Kodak24,20,original,0.567368112289627,0.120297268708546
Kodak24,20,tv,0.220038174445833,0.0951644935115938
