dataset,image,sigma,method,mean_psnr,std_psnr,mean_ssim,std_ssim,num_samples
BSD68,test001.png,10,adaptive,21.6360337035974,0,0.475918823414627,0,1
BSD68,test001.png,10,bilateral,28.4804911029148,0,0.812937208237184,0,1
BSD68,test001.png,10,guided,27.5870746804116,0,0.795782142970745,0,1
BSD68,test001.png,10,l0,20.336213841306,0,0.377274942846199,0,1
BSD68,test001.png,10,lgss,24.0980097071,0,0.5770137607,0,1
BSD68,test001.png,10,original,18.490928314644,0,0.290988510909037,0,1
BSD68,test001.png,10,tv,17.873494933,0,0.3977735896,0,1
BSD68,test001.png,20,adaptive,23.1456075241938,0,0.577862640687196,0,1
BSD68,test001.png,20,bilateral,25.4404769463229,0,0.719327525644325,0,1
BSD68,test001.png,20,guided,25.0993684165315,0,0.705154759637714,0,1
BSD68,test001.png,20,l0,20.5082634556368,0,0.39549219108159,0,1
BSD68,test001.png,20,lgss,23.816184593,0,0.6053774124,0,1
BSD68,test001.png,20,original,19.1595999410735,0,0.3217288138937,0,1
BSD68,test001.png,20,tv,17.215163711,0,0.3676478886,0,1
BSD68,test001.png,25,adaptive,22.187308485241,0,0.581718362771769,0,1
BSD68,test001.png,25,bilateral,23.4711373808216,0,0.631150789752857,0,1
BSD68,test001.png,25,guided,23.4137568294431,0,0.624734325842202,0,1
BSD68,test001.png,25,l0,20.6196682377344,0,0.412310153409021,0,1
BSD68,test001.png,25,lgss,22.8080497406,0,0.585202483,0,1
BSD68,test001.png,25,original,19.437947712886,0,0.342832215019348,0,1
BSD68,test001.png,25,tv,16.5448805287,0,0.3367787029,0,1
BSD68,test001.png,50,adaptive,15.2133920652624,0,0.279480559795774,0,1
BSD68,test001.png,50,bilateral,16.4665737470227,0,0.307498971186075,0,1
BSD68,test001.png,50,guided,16.9063075141802,0,0.317015615529691,0,1
BSD68,test001.png,50,l0,17.2393451415076,0,0.320510916486908,0,1
BSD68,test001.png,50,lgss,15.9818831574,0,0.3189966757,0,1
BSD68,test001.png,50,original,17.5715252408887,0,0.360590767991965,0,1
BSD68,test001.png,50,tv,13.371984527,0,0.2053234898,0,1
BSD68,test002.png,10,adaptive,23.4945865576414,0,0.720712017139802,0,1
BSD68,test002.png,10,bilateral,31.2829261548387,0,0.892263251749857,0,1
BSD68,test002.png,10,guided,30.2486303072499,0,0.87915101692431,0,1
BSD68,test002.png,10,l0,22.2656488835221,0,0.678352418170304,0,1
BSD68,test002.png,10,lgss,26.531842911,0,0.8033571264,0,1
BSD68,test002.png,10,original,19.5160518091444,0,0.625946787821129,0,1
BSD68,test002.png,10,tv,17.8224970814,0,0.2347127108,0,1
BSD68,test002.png,20,adaptive,25.3786242632803,0,0.771794550593916,0,1
BSD68,test002.png,20,bilateral,27.3301689583022,0,0.713998761190024,0,1
BSD68,test002.png,20,guided,26.9269007540659,0,0.711553215929526,0,1
BSD68,test002.png,20,l0,22.5759219435914,0,0.688554910554525,0,1
BSD68,test002.png,20,lgss,26.4215025045,0,0.8232936379,0,1
BSD68,test002.png,20,original,19.9583542021918,0,0.641242911003235,0,1
BSD68,test002.png,20,tv,17.166543626,0,0.2126688142,0,1
BSD68,test002.png,25,adaptive,23.914222586094,0,0.65740109498775,0,1
BSD68,test002.png,25,bilateral,24.8935827400716,0,0.57709010930897,0,1
BSD68,test002.png,25,guided,24.7729930860456,0,0.587950823290978,0,1
BSD68,test002.png,25,l0,22.5732449707577,0,0.692565143945185,0,1
BSD68,test002.png,25,lgss,24.8141764574,0,0.7831917598,0,1
BSD68,test002.png,25,original,20.2027571905138,0,0.651395962590235,0,1
BSD68,test002.png,25,tv,16.518157325,0,0.1934110106,0,1
BSD68,test002.png,50,adaptive,15.3925753434584,0,0.196509606918192,0,1
BSD68,test002.png,50,bilateral,16.7131727795343,0,0.195451501043191,0,1
BSD68,test002.png,50,guided,17.0828632713541,0,0.212950175759595,0,1
BSD68,test002.png,50,l0,17.5322189292446,0,0.331593195759822,0,1
BSD68,test002.png,50,lgss,16.3924170001,0,0.399462774,0,1
BSD68,test002.png,50,original,17.6760878676008,0,0.437589932825231,0,1
BSD68,test002.png,50,tv,13.2411430028,0,0.1134395943,0,1
BSD68,test003.png,10,adaptive,23.9055021338935,0,0.739326875543045,0,1
BSD68,test003.png,10,bilateral,31.7640721549655,0,0.882897927194336,0,1
BSD68,test003.png,10,guided,30.5187064964401,0,0.869176762589248,0,1
BSD68,test003.png,10,l0,21.7188585277018,0,0.69757074009072,0,1
BSD68,test003.png,10,lgss,24.1519440208,0,0.7834555364,0,1
BSD68,test003.png,10,original,19.7224516765233,0,0.653273365518736,0,1
BSD68,test003.png,10,tv,17.3532369332,0,0.2352170645,0,1
BSD68,test003.png,20,adaptive,25.3647007220484,0,0.743531258389429,0,1
BSD68,test003.png,20,bilateral,27.0404547941655,0,0.625110848388875,0,1
BSD68,test003.png,20,guided,26.7629991882452,0,0.622486993493474,0,1
BSD68,test003.png,20,l0,21.8846540678176,0,0.703742075607034,0,1
BSD68,test003.png,20,lgss,24.8775202399,0,0.803200907,0,1
BSD68,test003.png,20,original,20.5785699695473,0,0.666319378364488,0,1
BSD68,test003.png,20,tv,16.8278158478,0,0.2190389373,0,1
BSD68,test003.png,25,adaptive,23.5787196651487,0,0.525914331952581,0,1
BSD68,test003.png,25,bilateral,24.366301694126,0,0.476017384766372,0,1
BSD68,test003.png,25,guided,24.4026113722681,0,0.477589679454697,0,1
BSD68,test003.png,25,l0,21.7240646743764,0,0.70485356948314,0,1
BSD68,test003.png,25,lgss,24.3318608889,0,0.7726144724,0,1
BSD68,test003.png,25,original,21.0317926603096,0,0.675037949723429,0,1
BSD68,test003.png,25,tv,16.1983710104,0,0.2024962699,0,1
BSD68,test003.png,50,adaptive,14.8052714556601,0,0.16942013954257,0,1
BSD68,test003.png,50,bilateral,16.2338259979089,0,0.19029503025055,0,1
BSD68,test003.png,50,guided,16.6396140731652,0,0.195568453902126,0,1
