dataset,image,sigma,realization,method,psnr,ssim,runtime
BSD68,test001.png,10,1,adaptive,21.6360337035974,0.475918823414627,3.7588563
BSD68,test001.png,10,1,bilateral,28.4804911029148,0.812937208237184,0.5863259
BSD68,test001.png,10,1,guided,27.5870746804116,0.795782142970745,0.0092137
BSD68,test001.png,10,1,l0,20.336213841306,0.377274942846199,2.2050891
BSD68,test001.png,10,1,lgss,24.0980097071,0.5770137607,4.9325299
BSD68,test001.png,10,1,original,18.490928314644,0.290988510909037,4.0129771
BSD68,test001.png,10,1,tv,17.873494933,0.3977735896,1.0749053
BSD68,test002.png,10,1,adaptive,23.4945865576414,0.720712017139802,3.8056586
BSD68,test002.png,10,1,bilateral,31.2829261548387,0.892263251749857,0.5072698
BSD68,test002.png,10,1,guided,30.2486303072499,0.87915101692431,0.0091975
BSD68,test002.png,10,1,l0,22.2656488835221,0.678352418170304,1.8041257
BSD68,test002.png,10,1,lgss,26.531842911,0.8033571264,4.2568453
BSD68,test002.png,10,1,original,19.5160518091444,0.625946787821129,3.6392974
BSD68,test002.png,10,1,tv,17.8224970814,0.2347127108,1.089914
BSD68,test003.png,10,1,adaptive,23.9055021338935,0.739326875543045,5.3631081
BSD68,test003.png,10,1,bilateral,31.7640721549655,0.882897927194336,0.7359963
BSD68,test003.png,10,1,guided,30.5187064964401,0.869176762589248,0.013389
BSD68,test003.png,10,1,l0,21.7188585277018,0.69757074009072,1.8447881
BSD68,test003.png,10,1,lgss,24.1519440208,0.7834555364,4.1887601
BSD68,test003.png,10,1,original,19.7224516765233,0.653273365518736,3.4100271
BSD68,test003.png,10,1,tv,17.3532369332,0.2352170645,1.1627457
BSD68,test004.png,10,1,adaptive,20.5648670307727,0.559570654326139,5.2783948
BSD68,test004.png,10,1,bilateral,31.5850736321002,0.86219090238754,0.9174824
BSD68,test004.png,10,1,guided,30.2399841214648,0.835688412930364,0.0141439
BSD68,test004.png,10,1,l0,20.3791830701584,0.543181714050813,2.2128201
BSD68,test004.png,10,1,lgss,24.134873517,0.660985858,4.8703668
BSD68,test004.png,10,1,original,18.9863985605043,0.508526376867058,4.9417952
BSD68,test004.png,10,1,tv,17.1120115618,0.1886210723,1.0788601
BSD68,test005.png,10,1,adaptive,20.5401037997329,0.544733093550855,4.6602102
BSD68,test005.png,10,1,bilateral,29.4453225986473,0.858086307390419,0.574421
BSD68,test005.png,10,1,guided,28.4478069770547,0.840739760031387,0.0235043
BSD68,test005.png,10,1,l0,19.7421214074495,0.480503196798079,2.5211611
BSD68,test005.png,10,1,lgss,24.2464454395,0.6734281191,4.1769624
BSD68,test005.png,10,1,original,18.0611659411461,0.415601745363446,4.7385826
BSD68,test005.png,10,1,tv,17.9298386897,0.3244780366,1.0931787
BSD68,test006.png,10,1,adaptive,20.2064782071792,0.732704095913323,6.88674
BSD68,test006.png,10,1,bilateral,33.9832768229983,0.90154377404242,0.6199351
BSD68,test006.png,10,1,guided,32.8673945099779,0.891693381006328,0.0099824
BSD68,test006.png,10,1,l0,21.3516734005944,0.735146140666165,3.516806
BSD68,test006.png,10,1,lgss,22.9363254083,0.7811801113,4.2775116
BSD68,test006.png,10,1,original,18.9216777329552,0.707804283313428,5.2382744
BSD68,test006.png,10,1,tv,17.5648376414,0.1377395111,1.0698269
BSD68,test007.png,10,1,adaptive,21.1181610199759,0.493635036857866,4.6320569
BSD68,test007.png,10,1,bilateral,29.6785049649454,0.844900213273166,0.5433059
BSD68,test007.png,10,1,guided,28.2371845782677,0.815462380857781,0.0105975
BSD68,test007.png,10,1,l0,20.4367996192084,0.443894915401764,2.2490182
BSD68,test007.png,10,1,lgss,24.7144776129,0.6571878894,4.3190376
BSD68,test007.png,10,1,original,19.3155892532932,0.392967838282321,4.1612635
BSD68,test007.png,10,1,tv,17.3606526488,0.3190399121,1.1119121
BSD68,test008.png,10,1,adaptive,22.4347696293122,0.517987552889994,4.6065087
BSD68,test008.png,10,1,bilateral,28.629643474501,0.824410129969993,0.5446553
BSD68,test008.png,10,1,guided,27.7050148635259,0.804859853172175,0.0092711
BSD68,test008.png,10,1,l0,20.0589311672407,0.415910428639189,2.1972742
BSD68,test008.png,10,1,lgss,25.0207678678,0.6387093431,4.4211717
BSD68,test008.png,10,1,original,19.5929219764869,0.375216441177762,4.2617499
BSD68,test008.png,10,1,tv,17.7318486562,0.3897588246,1.7558907
BSD68,test009.png,10,1,adaptive,20.8758638770081,0.544982324247997,7.1070309
BSD68,test009.png,10,1,bilateral,30.4135397789045,0.859014483876406,0.5919606
BSD68,test009.png,10,1,guided,29.1891938846085,0.837089699903691,0.0123902
BSD68,test009.png,10,1,l0,20.1738534548867,0.505089010346516,4.2250727
BSD68,test009.png,10,1,lgss,24.2822310323,0.6655788032,7.9415528
BSD68,test009.png,10,1,original,19.246758236725,0.473629052546705,7.0636164
BSD68,test009.png,10,1,tv,17.6572526592,0.2721535406,4.491943
BSD68,test010.png,10,1,adaptive,21.0297757683299,0.580886234391387,11.8181045
BSD68,test010.png,10,1,bilateral,31.1831013906471,0.851352066967731,1.8048967
BSD68,test010.png,10,1,guided,29.9011775570822,0.829273525308763,0.0182707
BSD68,test010.png,10,1,l0,19.8189024421373,0.552212473502555,3.7884522
BSD68,test010.png,10,1,lgss,24.7657169823,0.6886148582,4.4608494
BSD68,test010.png,10,1,original,19.1872474597846,0.514845521497473,8.9971775
BSD68,test010.png,10,1,tv,17.1685180948,0.2049494661,1.2009875
BSD68,test011.png,10,1,adaptive,22.7258715338195,0.622136073599636,8.6153385
BSD68,test011.png,10,1,bilateral,29.7962946357521,0.884542760326574,0.8105956
BSD68,test011.png,10,1,guided,28.224184174816,0.850132809738274,0.0168154
BSD68,test011.png,10,1,l0,21.1642855781567,0.54475097227574,3.6534275
BSD68,test011.png,10,1,lgss,25.1999699178,0.7366181706,4.6913732
BSD68,test011.png,10,1,original,19.2568723290093,0.472937124978408,7.4861982
BSD68,test011.png,10,1,tv,17.9209554733,0.391444148,1.0652529
BSD68,test012.png,10,1,adaptive,21.4718725393841,0.46842853293848,7.5341445
BSD68,test012.png,10,1,bilateral,29.5831307054216,0.821668206419811,0.8247404
BSD68,test012.png,10,1,guided,28.1841541074196,0.790689381072871,0.0181451
BSD68,test012.png,10,1,l0,20.5301848032705,0.416432180190581,4.4471892
BSD68,test012.png,10,1,lgss,25.5077509713,0.654785691,5.7172116
BSD68,test012.png,10,1,original,19.161126956275,0.352911856627041,7.4017526
BSD68,test012.png,10,1,tv,17.1993058892,0.2821042307,1.1100097
BSD68,test013.png,10,1,adaptive,19.5731361841329,0.478341375478224,7.7097759
BSD68,test013.png,10,1,bilateral,30.6360196142068,0.841193021313892,0.7024994
BSD68,test013.png,10,1,guided,29.4476324919037,0.815131867371362,0.0167657
BSD68,test013.png,10,1,l0,20.4397920071258,0.486623473069529,4.3317631
BSD68,test013.png,10,1,lgss,23.5597605198,0.6082519264,4.1744326
BSD68,test013.png,10,1,original,17.3292139191362,0.434005706499596,6.7849582
BSD68,test013.png,10,1,tv,17.1077049252,0.2119326707,1.061438
