Metric,Dataset,Sigma,Comparison,Mean_Diff,CI_Lower,CI_Upper,Std_Diff,N
PSNR,BSD68,10,Adaptive vs bilateral,-8.36843132261857,-8.92993850025084,-7.8069241449863,2.31978327971563,68
PSNR,BSD68,10,Adaptive vs guided,-7.16674818111884,-7.7134662856474,-6.62003007659027,2.25868442670873,68
PSNR,BSD68,10,Adaptive vs l0,1.05429161535812,0.733547368194112,1.37503586252213,1.32510708905546,68
PSNR,BSD68,10,Adaptive vs lgss,-2.90340435151949,-3.20403496536765,-2.60277373767132,1.24201060851326,68
PSNR,BSD68,10,Adaptive vs original,3.05913326309872,2.74189060873963,3.3763759174578,1.31064077987045,68
PSNR,BSD68,10,Adaptive vs tv,4.78546944588492,4.44025328939409,5.13068560237576,1.42620913786357,68
SSIM,BSD68,10,Adaptive vs bilateral,-0.235186707195741,-0.254807953430901,-0.215565460960581,0.0810622566490443,68
SSIM,BSD68,10,Adaptive vs guided,-0.215996850667701,-0.234764808511423,-0.197228892823979,0.0775370227391585,68
SSIM,BSD68,10,Adaptive vs l0,0.0585335447612161,0.0416967915900804,0.0753702979323518,0.0695585382466445,68
SSIM,BSD68,10,Adaptive vs lgss,-0.0905313779422147,-0.10097443448024,-0.0800883214041896,0.0431439328134482,68
SSIM,BSD68,10,Adaptive vs original,0.12578973359885,0.104279919510983,0.147299547686716,0.0888645934700815,68
SSIM,BSD68,10,Adaptive vs tv,0.339048002082785,0.297301711570274,0.380794292595297,0.1724685820214,68
PSNR,BSD68,20,Adaptive vs bilateral,-2.34850540637007,-2.60736285322644,-2.0896479595137,1.06943099032038,68
PSNR,BSD68,20,Adaptive vs guided,-2.02717632072339,-2.30810739381853,-1.74624524762824,1.16062488972401,68
PSNR,BSD68,20,Adaptive vs l0,2.62687326941805,2.40912724431432,2.84461929452178,0.899585274030064,68
PSNR,BSD68,20,Adaptive vs lgss,-1.01466980378166,-1.22586433509208,-0.803475272471242,0.872518753130055,68
PSNR,BSD68,20,Adaptive vs original,4.56634795458699,4.33864784852358,4.79404806065041,0.940709077064213,68
PSNR,BSD68,20,Adaptive vs tv,7.27006937679775,6.99064763551918,7.54949111807633,1.15438931010705,68
