Metric,Dataset,Sigma,Comparison,Cohens_d,Mean_Diff,Std_Diff,N
PSNR,BSD68,10,Adaptive vs bilateral,-3.60741944982222,-8.36843132261857,2.31978327971563,68
PSNR,BSD68,10,Adaptive vs guided,-3.17297454056562,-7.16674818111884,2.25868442670873,68
PSNR,BSD68,10,Adaptive vs l0,0.795627481028436,1.05429161535812,1.32510708905546,68
PSNR,BSD68,10,Adaptive vs lgss,-2.33766469595215,-2.90340435151949,1.24201060851326,68
PSNR,BSD68,10,Adaptive vs original,2.33407453062853,3.05913326309872,1.31064077987045,68
PSNR,BSD68,10,Adaptive vs tv,3.35537707538002,4.78546944588492,1.42620913786357,68
SSIM,BSD68,10,Adaptive vs bilateral,-2.90130964665803,-0.235186707195741,0.0810622566490443,68
SSIM,BSD68,10,Adaptive vs guided,-2.78572536108762,-0.215996850667701,0.0775370227391585,68
SSIM,BSD68,10,Adaptive vs l0,0.841500500681378,0.0585335447612161,0.0695585382466445,68
SSIM,BSD68,10,Adaptive vs lgss,-2.09835710466329,-0.0905313779422147,0.0431439328134482,68
SSIM,BSD68,10,Adaptive vs original,1.41552139819556,0.12578973359885,0.0888645934700815,68
SSIM,BSD68,10,Adaptive vs tv,1.96585371149347,0.339048002082785,0.1724685820214,68
PSNR,BSD68,20,Adaptive vs bilateral,-2.19603268245154,-2.34850540637007,1.06943099032038,68
PSNR,BSD68,20,Adaptive vs guided,-1.74662489032562,-2.02717632072339,1.16062488972401,68
PSNR,BSD68,20,Adaptive vs l0,2.92009367566666,2.62687326941805,0.899585274030064,68
PSNR,BSD68,20,Adaptive vs lgss,-1.16292033855049,-1.01466980378166,0.872518753130055,68
PSNR,BSD68,20,Adaptive vs original,4.85415530254875,4.56634795458699,0.940709077064213,68
PSNR,BSD68,20,Adaptive vs tv,6.29776221344565,7.27006937679775,1.15438931010705,68
SSIM,BSD68,20,Adaptive vs bilateral,0.184866590743696,0.0163553893823009,0.088471309588743,68
SSIM,BSD68,20,Adaptive vs guided,0.296128645847807,0.0249032961833489,0.0840962079573612,68
SSIM,BSD68,20,Adaptive vs l0,1.27686066500069,0.10739362946344,0.0841075556692643,68
SSIM,BSD68,20,Adaptive vs lgss,-1.45428131040257,-0.0473645116170062,0.0325690162406713,68
SSIM,BSD68,20,Adaptive vs original,1.67298286405194,0.173377590319318,0.103633811227092,68
SSIM,BSD68,20,Adaptive vs tv,3.35219406827059,0.423706340887406,0.126396721746482,68
PSNR,BSD68,25,Adaptive vs bilateral,-3.12363162490014,-0.970713467528515,0.310764387128892,68
PSNR,BSD68,25,Adaptive vs guided,-2.46966850779784,-0.958166499626281,0.38797372870121,68
PSNR,BSD68,25,Adaptive vs l0,1.61551300405444,1.42482882511314,0.881966794162138,68
PSNR,BSD68,25,Adaptive vs lgss,-1.3234740075314,-0.788112871166106,0.595487985922842,68
PSNR,BSD68,25,Adaptive vs original,2.64446824799762,3.21019357807535,1.21392782103022,68
PSNR,BSD68,25,Adaptive vs tv,7.2008984148502,6.86217041036919,0.95296031342666,68
SSIM,BSD68,25,Adaptive vs bilateral,0.729874838596845,0.0338030180390986,0.0463134447874426,68
SSIM,BSD68,25,Adaptive vs guided,0.831353977394917,0.0341442756179732,0.0410706829417786,68
SSIM,BSD68,25,Adaptive vs l0,-0.0690099156017214,-0.00998916696081859,0.144749734494233,68
SSIM,BSD68,25,Adaptive vs lgss,-1.27915860544817,-0.113546694130126,0.0887667046498461,68
SSIM,BSD68,25,Adaptive vs original,0.308307397014279,0.0499934370363731,0.162154516954576,68
SSIM,BSD68,25,Adaptive vs tv,4.67303216238884,0.336544127212521,0.0720183631350142,68
PSNR,BSD68,50,Adaptive vs bilateral,-8.77026636997105,-1.35224189627035,0.154184814830751,68
PSNR,BSD68,50,Adaptive vs guided,-10.1469906091,-1.75417634904252,0.172876512516859,68
PSNR,BSD68,50,Adaptive vs l0,-5.95423031574004,-2.22022777900129,0.372882414899556,68
PSNR,BSD68,50,Adaptive vs lgss,-2.37619487907139,-0.924250202802434,0.388962290485041,68
PSNR,BSD68,50,Adaptive vs original,-4.94748731503623,-2.43187507035887,0.491537403838915,68
PSNR,BSD68,50,Adaptive vs tv,11.6850542870664,1.90527381049315,0.163052200159824,68
SSIM,BSD68,50,Adaptive vs bilateral,-2.8922891987531,-0.0228466183278738,0.00789914726982461,68
SSIM,BSD68,50,Adaptive vs guided,-5.39495323690414,-0.0307688243732191,0.00570326062564271,68
SSIM,BSD68,50,Adaptive vs l0,-1.9357200371043,-0.0739088884055818,0.0381816001223732,68
SSIM,BSD68,50,Adaptive vs lgss,-1.07999513187905,-0.0746915336878383,0.0691591392249007,68
SSIM,BSD68,50,Adaptive vs original,-1.82168233579383,-0.135160783172281,0.0741955831247505,68
SSIM,BSD68,50,Adaptive vs tv,2.95934546670778,0.0580734564724558,0.0196237502940343,68
PSNR,Kodak24,10,Adaptive vs bilateral,-3.90065570625719,-8.648408232737,2.21716780049666,24
PSNR,Kodak24,10,Adaptive vs guided,-3.42457156698182,-7.42636770093909,2.16855380466882,24
PSNR,Kodak24,10,Adaptive vs l0,0.703112430290428,0.849580416895909,1.20831374940275,24
PSNR,Kodak24,10,Adaptive vs lgss,-2.92700192387596,-3.31300189696456,1.1318755447135,24
PSNR,Kodak24,10,Adaptive vs original,2.76700096355732,2.85671394782977,1.03242246224487,24
PSNR,Kodak24,10,Adaptive vs tv,4.33913776371998,5.42950790141044,1.25128728265029,24
SSIM,Kodak24,10,Adaptive vs bilateral,-3.0030984684216,-0.205056851331101,0.0682817608171458,24
SSIM,Kodak24,10,Adaptive vs guided,-2.93660671020468,-0.186407863611612,0.0634772994844172,24
SSIM,Kodak24,10,Adaptive vs l0,0.932620605570732,0.038681067641442,0.0414756733985847,24
SSIM,Kodak24,10,Adaptive vs lgss,-2.35519486617663,-0.0848170557387166,0.0360127550194633,24
SSIM,Kodak24,10,Adaptive vs original,1.49501092283469,0.0955706031736563,0.0639263578037577,24
SSIM,Kodak24,10,Adaptive vs tv,2.57849705200119,0.41412906365295,0.160608701620016,24
PSNR,Kodak24,20,Adaptive vs bilateral,-2.35588733840037,-2.04183944165592,0.866696555635092,24
PSNR,Kodak24,20,Adaptive vs guided,-1.82565489185426,-1.7865959077762,0.978605494251769,24
PSNR,Kodak24,20,Adaptive vs l0,4.54809815940643,2.74096906407418,0.602662688448199,24
PSNR,Kodak24,20,Adaptive vs lgss,-1.35741873087762,-1.29522481106053,0.954182214815258,24
PSNR,Kodak24,20,Adaptive vs original,5.26423411895745,4.73116449527999,0.898737477925273,24
PSNR,Kodak24,20,Adaptive vs tv,7.38257759346474,8.14668336686448,1.10350121806727,24
SSIM,Kodak24,20,Adaptive vs bilateral,0.663004458198245,0.0567579933773999,0.0856072575011685,24
SSIM,Kodak24,20,Adaptive vs guided,0.775950028790921,0.0624955320972978,0.080540665994533,24
SSIM,Kodak24,20,Adaptive vs l0,1.07547655538854,0.071570743189887,0.0665479343378442,24
SSIM,Kodak24,20,Adaptive vs lgss,-1.92411265667716,-0.0580444620022727,0.0301668729223539,24
SSIM,Kodak24,20,Adaptive vs original,1.46307628656616,0.129211337341433,0.0883148326084158,24
SSIM,Kodak24,20,Adaptive vs tv,3.99266659392718,0.476541275185227,0.119354136884368,24
PSNR,Kodak24,25,Adaptive vs bilateral,-4.60701839894525,-0.8770543476685,0.190373528325673,24
PSNR,Kodak24,25,Adaptive vs guided,-3.49097157984091,-0.926532380146254,0.265408170463673,24
PSNR,Kodak24,25,Adaptive vs l0,1.16108946320875,1.11767051924846,0.96260499699971,24
PSNR,Kodak24,25,Adaptive vs lgss,-1.79505311216098,-1.22040257971325,0.679869899918487,24
PSNR,Kodak24,25,Adaptive vs original,2.70189971188011,2.96748762291835,1.09829673169232,24
PSNR,Kodak24,25,Adaptive vs tv,8.88607693444804,7.33374758246175,0.825307684883023,24
SSIM,Kodak24,25,Adaptive vs bilateral,1.05835582973257,0.040765655423527,0.0385179107803733,24
SSIM,Kodak24,25,Adaptive vs guided,1.21895294932708,0.0389004339154228,0.0319129905193616,24
SSIM,Kodak24,25,Adaptive vs l0,-0.638296942384678,-0.0892301378697456,0.139794086332893,24
SSIM,Kodak24,25,Adaptive vs lgss,-1.78666531167565,-0.162684737993957,0.0910549597234754,24
SSIM,Kodak24,25,Adaptive vs original,-0.241217636361965,-0.0376785319933095,0.156201397881082,24
SSIM,Kodak24,25,Adaptive vs tv,5.079733664531,0.33984903022271,0.0669029230008041,24
PSNR,Kodak24,50,Adaptive vs bilateral,-10.7895727564767,-1.42678449907041,0.132237349084462,24
PSNR,Kodak24,50,Adaptive vs guided,-11.6038913022804,-1.82920151384346,0.157636905258151,24
PSNR,Kodak24,50,Adaptive vs l0,-7.36352938260492,-2.38206846378784,0.323495478868471,24
PSNR,Kodak24,50,Adaptive vs lgss,-3.71760737103887,-0.946362830568925,0.25456233972994,24
PSNR,Kodak24,50,Adaptive vs original,-6.73257512068304,-2.49380549410072,0.370408862790039,24
PSNR,Kodak24,50,Adaptive vs tv,14.7433460062649,1.88453076596857,0.127822460733661,24
SSIM,Kodak24,50,Adaptive vs bilateral,-2.55035265369909,-0.0216833517155566,0.00850209937990596,24
SSIM,Kodak24,50,Adaptive vs guided,-5.75442802099965,-0.0289568504174742,0.00503209881360959,24
SSIM,Kodak24,50,Adaptive vs l0,-1.78049536308349,-0.071142134839185,0.0399563718694442,24
SSIM,Kodak24,50,Adaptive vs lgss,-0.804536179504353,-0.0614845593068509,0.0764223671640589,24
SSIM,Kodak24,50,Adaptive vs original,-1.58886840628964,-0.123138751559255,0.0775009126443711,24
SSIM,Kodak24,50,Adaptive vs tv,2.53868430980788,0.0486134331931491,0.0191490659178604,24
PSNR,Set12,10,Adaptive vs bilateral,-5.91390118245238,-9.11467012816693,1.54122800617836,12
PSNR,Set12,10,Adaptive vs guided,-4.61197324409271,-7.51145017627308,1.62868468196215,12
PSNR,Set12,10,Adaptive vs l0,0.0125862791901229,0.0125802731615083,0.99952281142633,12
PSNR,Set12,10,Adaptive vs lgss,-3.63307579939863,-2.68771638417173,0.739790891402987,12
PSNR,Set12,10,Adaptive vs original,4.27808217846695,3.44431323732593,0.805106843122916,12
PSNR,Set12,10,Adaptive vs tv,3.21650293700452,4.86249693824493,1.51173402713361,12
SSIM,Set12,10,Adaptive vs bilateral,-3.54817192088804,-0.201754606870614,0.0568615645941187,12
SSIM,Set12,10,Adaptive vs guided,-3.2828577232734,-0.17820515575078,0.0542835452439553,12
SSIM,Set12,10,Adaptive vs l0,0.768611847383894,0.0254271571260742,0.0330819219253776,12
SSIM,Set12,10,Adaptive vs lgss,-2.47609626638229,-0.0742005705931516,0.0299667551704534,12
SSIM,Set12,10,Adaptive vs original,2.71890358665344,0.126175520636548,0.0464067653063973,12
SSIM,Set12,10,Adaptive vs tv,4.68745333836208,0.405752922031848,0.0865614850416045,12
PSNR,Set12,20,Adaptive vs bilateral,-2.95716176511737,-1.97652761727443,0.668386708021695,12
PSNR,Set12,20,Adaptive vs guided,-1.65773406713625,-1.44563094241013,0.872052382266281,12
PSNR,Set12,20,Adaptive vs l0,4.11587347801821,2.28850697007434,0.556019756753129,12
PSNR,Set12,20,Adaptive vs lgss,-1.15154516734949,-0.644788152284033,0.559933010502871,12
PSNR,Set12,20,Adaptive vs original,5.89952574236321,5.3583453582971,0.908267137444623,12
PSNR,Set12,20,Adaptive vs tv,8.18119714549972,7.87143900935763,0.962137798340127,12
SSIM,Set12,20,Adaptive vs bilateral,1.23365771779496,0.0622566083040249,0.0504650580189311,12
SSIM,Set12,20,Adaptive vs guided,1.52871761525247,0.077444667170467,0.0506598906153618,12
SSIM,Set12,20,Adaptive vs l0,1.30920412732409,0.0632311114254213,0.048297366396683,12
SSIM,Set12,20,Adaptive vs lgss,-2.02741383853957,-0.0463355870270329,0.0228545283386299,12
SSIM,Set12,20,Adaptive vs original,2.43862979013085,0.154234210382285,0.0632462586188654,12
SSIM,Set12,20,Adaptive vs tv,8.15221578008584,0.4703136995563,0.0576915175264593,12
PSNR,Set12,25,Adaptive vs bilateral,-5.22548263828927,-0.677422478710717,0.129638260348807,12
PSNR,Set12,25,Adaptive vs guided,-1.70140262713013,-0.538811998370667,0.31668694392433,12
PSNR,Set12,25,Adaptive vs l0,0.876959652157119,0.824300534067699,0.939952632986147,12
PSNR,Set12,25,Adaptive vs lgss,-1.55231551157964,-0.943646348756583,0.607895973284661,12
PSNR,Set12,25,Adaptive vs original,2.77432139416316,3.63019924366909,1.30849989165156,12
PSNR,Set12,25,Adaptive vs tv,16.8483406773554,7.24902031540175,0.430251290273624,12
SSIM,Set12,25,Adaptive vs bilateral,2.3286910759636,0.0462521518637224,0.0198618667547319,12
SSIM,Set12,25,Adaptive vs guided,2.44880480073485,0.0525076993904168,0.021442174310774,12
SSIM,Set12,25,Adaptive vs l0,-1.08852564131365,-0.0916021593232192,0.0841525048621479,12
SSIM,Set12,25,Adaptive vs lgss,-2.87317921573217,-0.162776195665972,0.0566536868896608,12
SSIM,Set12,25,Adaptive vs original,-0.144416750124548,-0.0145239723262063,0.100569859892848,12
SSIM,Set12,25,Adaptive vs tv,19.5646738605837,0.338914684200695,0.0173227873163527,12
PSNR,Set12,50,Adaptive vs bilateral,-15.6664304259836,-1.37485955177116,0.0877583159907875,12
PSNR,Set12,50,Adaptive vs guided,-15.2617120369643,-1.74045914106121,0.114040884590521,12
PSNR,Set12,50,Adaptive vs l0,-11.2605483086767,-2.34670147173923,0.208400284551953,12
PSNR,Set12,50,Adaptive vs lgss,-3.98670119244035,-1.09041836451733,0.273513943454051,12
PSNR,Set12,50,Adaptive vs original,-10.9562721125992,-2.51072747990991,0.22915891957655,12
PSNR,Set12,50,Adaptive vs tv,33.4718052283296,1.86084201979934,0.0555943130974118,12
SSIM,Set12,50,Adaptive vs bilateral,-8.1900807061134,-0.0253211862777662,0.00309168947002751,12
SSIM,Set12,50,Adaptive vs guided,-7.59382968304478,-0.0303808087673052,0.00400072296000242,12
SSIM,Set12,50,Adaptive vs l0,-5.39283208898736,-0.076907981970816,0.0142611490032981,12
SSIM,Set12,50,Adaptive vs lgss,-1.79493287035047,-0.0647550023580643,0.0360765594233173,12
SSIM,Set12,50,Adaptive vs original,-4.16825201590519,-0.131764421839565,0.03161143360257,12
SSIM,Set12,50,Adaptive vs tv,5.582411110629,0.0503507889586024,0.00901954154948096,12
PSNR,custom,10,Adaptive vs bilateral,-2.80008686415188,-8.7835875006129,3.13689822021767,3
PSNR,custom,10,Adaptive vs guided,-2.21496058573456,-7.1467601248382,3.22658568773949,3
PSNR,custom,10,Adaptive vs l0,0.00255457003440354,0.00445050769706749,1.74217486196522,3
PSNR,custom,10,Adaptive vs original,2.84234305337518,2.9868501814116,1.05084084690792,3
SSIM,custom,10,Adaptive vs bilateral,-3.04292227486666,-0.169271892126152,0.0556280696106735,3
SSIM,custom,10,Adaptive vs guided,-2.72993164724699,-0.147066499953242,0.0538718616275804,3
SSIM,custom,10,Adaptive vs l0,0.302430674310424,0.00634246597543161,0.0209716358629731,3
SSIM,custom,10,Adaptive vs original,3.10808532705549,0.086396021033599,0.0277971844213969,3
PSNR,custom,20,Adaptive vs bilateral,-1.72725937154561,-1.81007335677007,1.0479453095399,3
PSNR,custom,20,Adaptive vs guided,-0.720299677109582,-1.06985808248017,1.48529579629036,3
PSNR,custom,20,Adaptive vs l0,4.30245617202771,1.90861693404714,0.443611011416212,3
PSNR,custom,20,Adaptive vs lgss,-0.408054455020301,-0.171581514512867,0.42048680611594,3
PSNR,custom,20,Adaptive vs original,4.81516996878931,4.53356379790293,0.941516878384009,3
PSNR,custom,20,Adaptive vs tv,9.92018688514656,8.32287059722047,0.838983246342088,3
SSIM,custom,20,Adaptive vs bilateral,3.4645670981513,0.0970005538247813,0.0279978857608331,3
SSIM,custom,20,Adaptive vs guided,7.64184408161119,0.11571978207987,0.0151429132607311,3
SSIM,custom,20,Adaptive vs l0,1.53869127819922,0.034866667987361,0.0226599503626007,3
SSIM,custom,20,Adaptive vs lgss,-3.57100868116035,-0.0473444018715576,0.0132579912564575,3
SSIM,custom,20,Adaptive vs original,2.31665049414189,0.103420147913317,0.0446421021102819,3
SSIM,custom,20,Adaptive vs tv,9.72340232420608,0.510534918861776,0.052505789829432,3
PSNR,custom,25,Adaptive vs bilateral,-11.2741486009176,-0.619736979974866,0.0549697366880922,3
PSNR,custom,25,Adaptive vs guided,-0.813803143822119,-0.3066114051805,0.376763603714363,3
PSNR,custom,25,Adaptive vs l0,0.432503472187447,0.256679235198466,0.593473235949471,3
PSNR,custom,25,Adaptive vs lgss,-1.45174177142444,-0.867715104444799,0.597706232282207,3
PSNR,custom,25,Adaptive vs original,1.30230085073198,2.6349857552351,2.02333105576493,3
PSNR,custom,25,Adaptive vs tv,15.0334768525619,7.48467547158853,0.497867229583224,3
SSIM,custom,25,Adaptive vs bilateral,2.50633658462648,0.06007664012856,0.023969901128628,3
SSIM,custom,25,Adaptive vs guided,3.70932838180694,0.070450201682095,0.018992710925145,3
SSIM,custom,25,Adaptive vs l0,-3.02625326310408,-0.143325304018141,0.0473606441884937,3
SSIM,custom,25,Adaptive vs lgss,-4.96430207934515,-0.194879123437705,0.039256096893969,3
SSIM,custom,25,Adaptive vs original,-1.39880000601609,-0.087008469618699,0.0622022227941699,3
SSIM,custom,25,Adaptive vs tv,13.0510665561774,0.350930840028962,0.0268890545089478,3
