dataset,sigma,method,mean_psnr,std_psnr,mean_ssim,std_ssim,mean_runtime,std_runtime,num_samples
BSD68,10,adaptive,22.3906103911673,1.53946762693322,0.627388761582785,0.107417960677481,6.53737684117647,2.13988410989507,68
BSD68,10,bilateral,30.7590417137858,2.01508988014661,0.862575468778526,0.0377555565454047,0.738439236764706,0.315690759813516,68
BSD68,10,guided,29.5573585722861,1.94793288820772,0.843385612250486,0.0391027307257609,0.0146664,0.00703923388512928,68
BSD68,10,l0,21.3363187758092,1.4787128524342,0.568855216821569,0.126518416615193,3.02496244852941,0.831684310273394,68
BSD68,10,lgss,25.2940147426868,1.23980250062795,0.717920139525,0.0778005369705379,4.13397852205882,0.601825453154186,68
BSD68,10,original,19.3314771280686,1.50502296972031,0.501599027983935,0.140194249850156,5.94768162058823,1.74194698636408,68
BSD68,10,tv,17.6051409452824,0.445744249003082,0.2883407595,0.121288909502951,1.11473332058824,0.436227124317396,68
BSD68,20,adaptive,24.2893317676698,1.06503723997017,0.690752527925641,0.0733360998357696,6.25378120735294,2.0261463438904,68
BSD68,20,bilateral,26.6378371740399,1.21210451607787,0.67439713854334,0.0668271108351823,0.754410323529412,0.221367311869493,68
BSD68,20,guided,26.3165080883932,1.30519040742585,0.665849231742292,0.0618513038373979,0.0145588191176471,0.0064385325442959,68
BSD68,20,l0,21.6624584982518,1.44067366216624,0.583358898462201,0.117399538643437,3.16444410147059,1.00240101572436,68
BSD68,20,lgss,25.3040015714515,1.36008698866335,0.738117039542647,0.065134056278987,4.17057382941177,0.580914546048034,68
BSD68,20,original,19.7229838130828,1.41987721772746,0.517374937606323,0.131853340083,5.90719697352941,2.24432189411404,68
BSD68,20,tv,17.0192623908721,0.333767571141826,0.267046187038235,0.111193160789032,1.07393836764706,0.161174348669818,68
BSD68,25,adaptive,23.2314528080162,0.95263829086472,0.581655848100756,0.0841336572172908,6.52605793382353,2.47239353610229,68
BSD68,25,bilateral,24.2021662755448,0.878456070642088,0.547852830061657,0.0941567104203515,0.770796002941177,0.284847609176706,68
BSD68,25,guided,24.1896193076425,0.948977378626067,0.547511572482783,0.0897592363957679,0.0148693573529412,0.0110004102249873,68
